Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Vision_Score,Defensive_Vulnerability,Defensive_Rating_100
Away,SET PIECE,FREE KICK,1,11586,463.44,11586,463.44,Player25,,,,,,0.0,True,0.0
Away,PASS,,1,11586,463.44,11619,464.76,Player25,Player17,0.78,0.55,0.7,0.79,1029.4953870015895,True,21.546959215587506
Away,PASS,,1,11674,466.96,11701,468.04,Player17,Player22,0.65,0.83,0.57,0.97,742.4231789404752,True,15.538643649417871
Away,PASS,,1,11727,469.08,11763,470.52,Player22,Player20,0.58,0.94,0.54,0.73,,False,
Away,PASS,,1,11788,471.52,11812,472.48,Player20,Player19,0.53,0.71,0.5,0.52,,False,
Away,PASS,,1,11831,473.24,11861,474.44,Player19,Player24,0.5,0.55,0.39,0.4,,False,
Away,PASS,,1,11882,475.28,11918,476.72,Player24,Player18,0.39,0.41,0.32,0.1,,False,
Away,BALL LOST,CROSS-INTERCEPTION,1,11987,479.48,12032,481.28,Player18,,0.22,0.12,0.03,0.61,934.915867879078,True,19.567444720531793
Home,RECOVERY,INTERCEPTION,1,12033,481.32,12033,481.32,Player1,,0.04,0.62,,,3389.291246310199,False,70.93661727488715
Home,BALL OUT,HEAD-CLEARANCE,1,12033,481.32,12047,481.88,Player1,,0.04,0.62,-0.05,0.71,415.9436320649632,True,8.705546998311377
Away,SET PIECE,CORNER KICK,1,12636,505.44,12636,505.44,Player21,,,,,,0.0,True,0.0
Away,BALL OUT,,1,12636,505.44,12702,508.08,Player21,,0.01,0.95,-0.03,0.34,,False,
Home,RECOVERY,,1,13543,541.72,13543,541.72,Player11,,0.04,0.44,,,3389.279050030951,False,70.93636201125524
Home,PASS,GOAL KICK,1,13543,541.72,13625,545.0,Player11,Player5,0.04,0.44,0.5,0.86,4553.252018410997,False,95.29788746769951
Home,PASS,,1,13625,545.0,13641,545.64,Player5,Player1,0.5,0.86,0.42,0.84,,False,
Home,BALL LOST,INTERCEPTION,1,13672,546.88,13701,548.04,Player1,,0.41,0.85,0.63,0.86,3402.727034893337,False,71.21782338060203
Away,RECOVERY,INTERCEPTION,1,13701,548.04,13701,548.04,Player17,,0.57,0.86,,,3389.271547750551,False,70.93620499129007
Away,BALL LOST,,1,13701,548.04,13736,549.44,Player17,,0.57,0.86,0.48,0.82,,False,
Home,RECOVERY,,1,13739,549.56,13739,549.56,Player6,,0.48,0.79,,,3389.299235053858,False,70.93678447634913
Home,BALL LOST,INTERCEPTION,1,13739,549.56,13766,550.64,Player6,,0.48,0.79,0.68,0.53,527.5763777221257,True,11.041979242854518
Away,RECOVERY,INTERCEPTION,1,13766,550.64,13766,550.64,Player15,,0.64,0.55,,,3389.517232710759,False,70.94134708700446
Away,BALL LOST,,1,13766,550.64,13814,552.56,Player15,,0.64,0.55,0.76,0.52,2502.9329446829884,True,52.38546452889683
Home,RECOVERY,,1,13814,552.56,13814,552.56,Player9,,0.73,0.56,,,3389.5359592965824,False,70.94173902754744
Home,CHALLENGE,TACKLE-LOST,1,13843,553.72,13843,553.72,Player9,,0.8,0.52,,,3389.5788765316174,False,70.94263726946734
Home,BALL LOST,THEFT,1,13843,553.72,13843,553.72,Player9,,0.8,0.52,,,3389.5788765316174,False,70.94263726946734
Away,CHALLENGE,TACKLE-WON,1,13844,553.76,13844,553.76,Player16,,0.81,0.53,,,3389.5752922862,False,70.94256225253108
Away,RECOVERY,THEFT,1,13844,553.76,13844,553.76,Player16,,0.81,0.53,,,3389.5752922862,False,70.94256225253108
Away,BALL OUT,CLEARANCE,1,13886,555.44,13987,559.48,Player16,,0.89,0.48,0.96,-0.04,,False,
Home,SET PIECE,THROW IN,1,14574,582.96,14574,582.96,Player4,,,,,,0.0,True,0.0
Home,PASS,,1,14574,582.96,14607,584.28,Player4,Player9,0.86,-0.02,0.96,0.1,4406.806433394172,False,92.2328353193352
Home,PASS,,1,14607,584.28,14637,585.48,Player9,Player4,0.96,0.1,0.83,0.01,,False,
Home,PASS,,1,14637,585.48,14666,586.64,Player4,Player8,0.83,0.01,0.92,0.21,3512.4407608085785,False,73.51409124885447
Home,BALL LOST,INTERCEPTION,1,14730,589.2,14741,589.64,Player8,,0.97,0.28,0.92,0.4,896.5853082876916,True,18.765200228080296
Away,RECOVERY,INTERCEPTION,1,14741,589.64,14741,589.64,Player21,,0.93,0.39,,,3389.182245902882,False,70.93433593651442
Away,PASS,,1,14772,590.88,14793,591.72,Player21,Player19,0.91,0.35,0.83,0.31,,False,
Away,PASS,,1,14793,591.72,14815,592.6,Player19,Player16,0.83,0.31,0.92,0.37,4691.79354905834,False,98.19751066972049
Away,PASS,,1,14834,593.36,14870,594.8,Player16,Player21,0.91,0.35,0.8,0.12,,False,
Away,PASS,,1,14870,594.8,14890,595.6,Player21,Player18,0.8,0.12,0.83,0.13,4406.716615229756,False,92.2309554582402
Away,PASS,,1,14890,595.6,14924,596.96,Player18,Player24,0.83,0.13,0.59,0.12,,False,
Away,BALL LOST,,1,14967,598.68,15046,601.84,Player24,,0.58,0.04,0.31,0.06,,False,
Home,RECOVERY,,1,15043,601.72,15043,601.72,Player2,,0.33,0.13,,,3389.662698767601,False,70.94439163798896
Home,PASS,,1,15043,601.72,15109,604.36,Player2,Player11,0.33,0.13,0.16,0.43,749.6112883110995,True,15.689088130667194
Home,BALL LOST,INTERCEPTION,1,15152,606.08,15224,608.96,Player11,,0.16,0.52,0.57,0.87,4584.047539569007,False,95.94242638141625
Away,CHALLENGE,AERIAL-WON,1,15222,608.88,15222,608.88,Player17,,0.54,0.84,,,3389.276344307717,False,70.93630538146465
Away,RECOVERY,INTERCEPTION,1,15222,608.88,15222,608.88,Player17,,0.54,0.84,,,3389.276344307717,False,70.93630538146465
Away,BALL LOST,HEAD,1,15222,608.88,15270,610.8,Player17,,0.54,0.84,0.39,0.91,,False,
Home,CHALLENGE,AERIAL-LOST,1,15224,608.96,15224,608.96,Player5,,0.53,0.84,,,3389.279456246679,False,70.93637051320079
Home,RECOVERY,,1,15269,610.76,15269,610.76,Player1,,0.41,0.91,,,3389.170334206645,False,70.93408662910007
Home,PASS,,1,15298,611.92,15336,613.44,Player1,Player5,0.44,0.98,0.52,0.94,1874.005603450279,True,39.222246954335574
Away,RECOVERY,INTERCEPTION,1,15300,612.0,15300,612.0,Player22,,0.46,0.98,,,3389.130837326082,False,70.93325997393933
Away,BALL LOST,,1,15300,612.0,15336,613.44,Player22,,0.46,0.98,0.57,0.91,1558.5885656880894,True,32.62068454388367
Home,PASS,,1,15363,614.52,15379,615.16,Player5,Player9,0.56,0.96,0.6,0.88,,False,
Home,PASS,,1,15419,616.76,15430,617.2,Player9,Player5,0.64,0.88,0.7,0.88,3268.2053589824754,True,68.40233425742508
Home,BALL LOST,,1,15430,617.2,15464,618.56,Player5,,0.7,0.88,0.81,0.71,257.2489365132111,True,5.384125478645648
